seed	num_customers	loc_range	cetsp_ofv	cetsp_lb	cetsp_gap	cetsp_runtime	cetspst_ofv	cetspst_lb	cetspst_gap	cetspst_runtime
1036	10	((0, 0), (30, 30))	287.4608784	287.1173882	0.008143395	3236.92663	277.1131564	276.0800597	0.003728068	45.70366383
1074	10	((0, 0), (30, 30))	276.0045958	275.6804004	0.009134393	2659.658316	266.0874924	264.9656414	0.004216098	31.39072323
1060	10	((0, 0), (30, 30))	282.1752895	281.702358	0.013042202	3658.434336	272.2838012	271.4758085	0.002967465	17.66755438
1047	10	((0, 0), (30, 30))	281.8396442	281.6590164	0.00444944	3066.887386	272.2929259	271.5031412	0.002900497	350.4992242
1027	10	((0, 0), (30, 30))	293.6773926	293.6088304	0.001771671	3855.077517	284.2498871	283.0043559	0.004381817	17.56326151
Average			284.2315601	283.9535987	0.00730822	3295.396837	274.4054526	273.4058013	0.003638789	92.56488543
1062	10	((0, 0), (50, 50))	297.849675	297.7418185	0.001813901	3841.763177	286.6878849	285.3499796	0.004666766	4.195604324
1061	10	((0, 0), (50, 50))	312.67302	312.4368281	0.003886128	3998.367213	302.5296669	301.6087146	0.003044172	32.08009982
1039	10	((0, 0), (50, 50))	314.1854155	313.8632679	0.004540058	3915.589343	304.1036564	302.9402151	0.003825805	37.66066241
1074	10	((0, 0), (50, 50))	302.8157916	302.3048622	0.008200729	2690.262945	293.1476218	292.0105583	0.003878809	5.84854579
1080	10	((0, 0), (50, 50))	298.345202	297.7861028	0.00925211	3107.791701	289.0687731	287.9829397	0.003756315	4.619945765
Average			305.1738208	304.8265759	0.005538585	3510.754876	295.1075206	293.9784814	0.003834373	16.88097162
1048	10	((0, 0), (100, 100))	381.878235	381.3801548	0.003433739	90.06953192	371.5728774	370.6165911	0.002573617	2.839280367
1080	10	((0, 0), (100, 100))	364.604605	363.8287071	0.006124441	274.6575909	355.4807475	354.4337703	0.002945243	4.532700062
1036	10	((0, 0), (100, 100))	397.8516135	397.4326146	0.002746256	112.6792791	388.0505368	386.7268542	0.003411109	12.02602696
1060	10	((0, 0), (100, 100))	373.7298209	373.5466141	0.001433362	166.0267494	364.9750405	363.9227468	0.002883194	7.005843639
1029	10	((0, 0), (100, 100))	413.1277635	412.6709156	0.00314506	3683.046551	403.8544191	402.6391165	0.003009259	14.80098224
Average			386.2384076	385.7718012	0.003376571	865.2959405	376.7867243	375.6678158	0.002964484	8.240966654
