seed	num_customers	loc_range	ppo_ofv	ppo_lb	ppo_gap	ppo_runtime	ppo_without_gbd_ofv	ppo_without_gbd_lb	ppo_without_gbd_gap	ppo_without_gbd_runtime	ppo_without_gan_ofv	ppo_without_gan_lb	ppo_without_gan_gap	ppo_without_gan_runtime	ppo_dual_agent_ofv	ppo_dual_agent_lb	ppo_dual_agent_gap	ppo_dual_agent_runtime
1099	10	((0, 0), (30, 30))	279.4131283	278.0224459	0.004977155	37.20365715	0	0	0	0	279.4131283	278.0224459	0.004977155	42.1126039	279.5519063	278.3199781	0.004406796	86.66285634
1014	10	((0, 0), (30, 30))	277.3539325	275.3975865	0.007053608	7.024249315	0	0	0	0	277.3539325	275.3975865	0.007053608	10.16569066	278.2944103	275.2470771	0.010950034	13.19436789
1068	10	((0, 0), (30, 30))	293.6683267	290.0993703	0.012153018	25.00561213	0	0	0	0	293.6683267	290.0993703	0.012153018	32.57572746	293.6749073	290.0867575	0.012218102	37.35221624
1037	10	((0, 0), (30, 30))	267.9749252	266.8004049	0.004382949	33.87519956	0	0	0	0	267.9749252	266.8004049	0.004382949	35.73877358	268.2984126	266.6944834	0.005978154	75.88002753
1086	10	((0, 0), (30, 30))	303.8387278	301.6323471	0.007261684	169.6560493	0	0	0	0	303.8387278	301.6323471	0.007261684	205.13484	303.9241331	301.6323471	0.007540652	195.7642751
Average			284.4498081	282.3904309	0.007165683	54.55295348	0	0	0	0	284.4498081	282.3904309	0.007165683	65.14552712	284.748754	282.3961286	0.008218747	81.77074862
1087	10	((0, 0), (50, 50))	310.7905246	309.0398141	0.005633089	358.4316638	0	0	0	0	310.7905246	309.0398141	0.005633089	377.6212518	310.9693982	309.1877252	0.005729416	427.5348139
1056	10	((0, 0), (50, 50))	340.6319423	338.3681327	0.006645911	12.57344651	0	0	0	0	340.6319423	338.3681327	0.006645911	12.83005357	340.9131632	338.5479648	0.006937832	14.34655643
1048	10	((0, 0), (50, 50))	302.010012	300.5459324	0.004847785	4.010700464	0	0	0	0	302.010012	300.5459324	0.004847785	4.509836674	302.010012	300.6949883	0.004354239	5.034737587
1050	10	((0, 0), (50, 50))	332.1657702	330.2939316	0.005635254	19.87533116	0	0	0	0	332.1657702	330.2939316	0.005635254	23.84580588	332.5075258	330.3651556	0.006443073	20.29762959
1037	10	((0, 0), (50, 50))	300.1975517	299.2637362	0.00311067	7.170094967	0	0	0	0	300.1975517	299.2637362	0.00311067	9.391333342	300.6320572	299.0361031	0.005308662	23.38442659
Average			317.1591602	315.5023094	0.005174542	80.41224737	0	0	0	0	317.1591602	315.5023094	0.005174542	85.63965626	317.4064313	315.5663874	0.005754644	98.11963282
1065	10	((0, 0), (100, 100))	402.6202753	400.7640356	0.004610398	13.09668517	0	0	0	0	402.6202753	400.7640356	0.004610398	13.58480763	402.7568731	400.5521967	0.005473963	18.37359881
1054	10	((0, 0), (100, 100))	417.6931131	416.4332869	0.003016153	3.599547386	0	0	0	0	417.6931131	416.4332869	0.003016153	4.190918684	417.7977296	416.0692269	0.004137176	6.23182106
1014	10	((0, 0), (100, 100))	366.332529	364.6040391	0.004718363	7.25585103	0	0	0	0	366.332529	364.6040391	0.004718363	8.043728113	367.2615615	364.5825151	0.007294655	15.12276936
1077	10	((0, 0), (100, 100))	415.8205347	414.440535	0.003318739	6.627358675	0	0	0	0	415.8205347	414.440535	0.003318739	8.126369953	416.1344547	414.6427889	0.003584576	7.305946589
1098	10	((0, 0), (100, 100))	369.9000269	368.5571395	0.003630406	16.01558256	0	0	0	0	369.9000269	368.5571395	0.003630406	16.62491274	370.2468212	368.3665882	0.005078323	19.89147615
Average			394.4732958	392.9598072	0.003858812	9.319004965	0	0	0	0	394.4732958	392.9598072	0.003858812	10.11414742	394.839488	392.8426632	0.005113739	13.38512239
