seed	num_customers	loc_range	gurobi_ofv	gurobi_lb	gurobi_gap	gurobi_runtime	BB_ofv	BB_lb	BB_gap	BB_runtime	ppo_ofv	ppo_lb	ppo_gap	ppo_runtime
1057	5	((0, 0), (30, 30))	144.2673035	144.2673035	0	0.71600008	144.2672993	144.2672993	0	0.018899441	144.6384595	143.7276122	0.006297407	2.356910944
1064	5	((0, 0), (30, 30))	146.7857337	146.7857337	0	1.680999994	146.7856697	146.7856697	0	0.023954868	147.0663767	146.4491103	0.004197196	2.475109577
1028	5	((0, 0), (30, 30))	164.3675094	164.3675094	0	0.832999945	164.3675045	164.3675045	0	0.014977217	164.743957	163.7752607	0.005880011	1.488068819
1019	5	((0, 0), (30, 30))	159.5765003	159.5765003	0	0.673999786	159.5764853	159.5764853	0	0.014979362	159.7944494	158.9877843	0.005048143	2.398947001
1008	5	((0, 0), (30, 30))	162.6573822	162.6573822	0	0.945000172	162.6573667	162.6573667	0	0.007983923	162.7057353	162.1059742	0.003686171	1.422049999
Average			155.5308858	155.5308858	0	0.969799995	155.5308651	155.5308651	0	0.016158962	155.7897956	155.0091483	0.005021785	2.028217268
1029	5	((0, 0), (50, 50))	187.2723596	187.2723596	0	1.568000078	187.2723167	187.2723167	0	0.024960518	187.3877253	186.367908	0.005442285	4.842111111
1013	5	((0, 0), (50, 50))	189.9498325	189.9498325	0	0.655999899	189.9497519	189.9497519	0	0.019970179	190.2785782	189.6260434	0.003429365	4.359788656
1056	5	((0, 0), (50, 50))	198.6801363	198.6801363	0	1.419999838	198.6800116	198.6800116	0	0.033944845	199.0895095	198.1169001	0.004885287	1.440042019
1038	5	((0, 0), (50, 50))	178.334813	178.334813	0	0.895999908	178.3347971	178.3347971	0	0.011596918	178.5088757	177.6550466	0.004783119	1.390223503
1043	5	((0, 0), (50, 50))	178.3164277	178.3164277	0	0.765000105	178.3162026	178.3162026	0	0.015023232	178.5114665	177.639059	0.004887123	2.490582943
Average			186.5107138	186.5107138	0	1.060999966	186.510616	186.510616	0	0.021099138	186.7552311	185.8809914	0.004685436	2.904549646
1047	5	((0, 0), (100, 100))	219.7704329	219.7704329	0	2.628000021	219.7703825	219.7703825	0	0.016973257	219.9743254	219.1575964	0.003712838	1.430353165
1060	5	((0, 0), (100, 100))	185.1724914	185.1724914	0	0.91899991	185.1724459	185.1724459	0	0.029952765	185.5401415	184.6619243	0.004733301	5.432781219
1034	5	((0, 0), (100, 100))	204.6598839	204.6598839	0	1.562999964	204.6598896	204.6598896	0	0.037939787	204.6822155	203.7828976	0.004393727	3.948009729
1085	5	((0, 0), (100, 100))	227.0778823	227.0778823	0	0.961000204	227.0778855	227.0778855	0	0.063896179	227.19655	226.266536	0.004093434	1.935507774
1086	5	((0, 0), (100, 100))	234.5342992	234.5342992	0	1.644999981	234.5342665	234.5342665	0	0.051916838	234.769821	233.9645481	0.003430053	1.524989367
Average			214.2429979	214.2429979	0	1.543200016	214.242974	214.242974	0	0.040135765	214.4326107	213.5667005	0.00407267	2.854328251
