seed	num_customers	loc_range	cetsp_ofv	cetsp_lb	cetsp_gap	cetsp_runtime	cetspst_ofv	cetspst_lb	cetspst_gap	cetspst_runtime
1017	5	((0, 0), (30, 30))	144.6807097	144.5879639	0.003295452	62.31793427	141.4113869	140.3648822	0.007400428	10.53115273
1072	5	((0, 0), (30, 30))	150.906685	150.3458257	0.016503428	50.30347967	147.9401474	147.1311406	0.005468474	7.829618216
1097	5	((0, 0), (30, 30))	154.6647557	154.4487042	0.008339454	616.5143037	151.0648624	150.0689598	0.006592549	1615.563852
1008	5	((0, 0), (30, 30))	154.3963959	153.7470821	0.023574667	105.1647341	151.3448452	150.4445649	0.005948537	9.098249912
1032	5	((0, 0), (30, 30))	153.4213968	152.9151231	0.016921544	51.70637751	150.5480854	149.5821467	0.006416147	12.14008951
Average			151.6139886	151.2089398	0.013726909	177.2013659	148.4618655	147.5183389	0.006365227	331.0325924
1049	5	((0, 0), (50, 50))	191.8030067	191.4306018	0.006179703	12.86390877	187.6814588	186.6544806	0.005471922	2.755231857
1083	5	((0, 0), (50, 50))	183.9556009	182.9846824	0.016551049	65.3738935	180.9015881	179.2702832	0.009017637	6.544514656
1069	5	((0, 0), (50, 50))	191.3482229	191.2865711	0.000934391	9.807433367	190.0023132	189.1404616	0.004536006	2.547160149
1054	5	((0, 0), (50, 50))	192.7357897	192.4501333	0.004096191	8.186249733	189.8321691	189.190705	0.003379112	2.22211051
1020	5	((0, 0), (50, 50))	160.5057173	160.2017316	0.008173356	14.46793342	156.7169715	156.1707575	0.003485353	3.590596199
Average			184.0696675	183.670744	0.007186938	22.13988376	181.0269001	180.0853376	0.005178006	3.531922674
1014	5	((0, 0), (100, 100))	224.9765938	224.7683659	0.002088329	25.0657413	222.3419097	221.3249554	0.004573831	5.918681622
1003	5	((0, 0), (100, 100))	184.5436783	184.2935444	0.003865221	19.35706067	182.2764508	181.2795168	0.005469352	3.923098326
1059	5	((0, 0), (100, 100))	264.32733	264.1370029	0.001424794	17.30473089	260.7609747	260.254446	0.001942502	7.358784676
1099	5	((0, 0), (100, 100))	220.3140909	219.4323017	0.008882258	5.742097616	217.3020053	216.5595257	0.00341681	6.069587946
1051	5	((0, 0), (100, 100))	238.3392136	237.8035802	0.00448756	7.109070063	233.9957781	233.4777141	0.002213989	3.578837633
Average			226.5001813	226.086959	0.004149632	14.91574011	223.3354237	222.5792316	0.003523297	5.36979804
